ID;value;Manhattan
0;1;281.64302453398705
1;1;1224.25388276577
2;0;1065.5927830636501
3;1;706.3190602660179
4;0;284.01350186392665
5;0;382.5400348752737
6;1;357.051456451416
7;0;569.2625550627708
8;1;373.35839557647705
9;1;1073.6289439797401
10;1;784.6625676751137
11;1;706.3190602660179
12;1;209.56045344471931
13;1;524.4942039772868
14;0;639.0451367087662
15;0;379.9545598626137
16;0;399.53977013751864
17;0;890.8574612140656
18;0;880.7063948065042
19;0;1768.9622025340796
20;1;1217.440851420164
21;0;1371.186913460493
22;1;702.5109548792243
23;0;1367.02436350286
24;0;842.4722947180271
25;1;510.49620066583157
26;1;1317.4869005084038
27;0;1927.8364788591862
28;0;2031.953141182661
29;0;1431.9273806363344
30;0;1334.3623457551003
31;0;1111.0400650799274
32;0;1253.447270348668
33;0;1896.8582500815392
34;1;940.7664363533258
35;1;1325.118099361658
36;1;1064.8900852501392
37;1;1147.2609065622091
38;1;355.84475438296795
39;1;1316.6883442997932
40;1;1114.4301849007607
41;1;598.3526508063078
42;1;1027.5497277081013
43;1;1590.17884285748
44;1;1710.387442663312
45;0;979.1230453848839
46;0;592.4561889767647
47;0;880.6709093600512
48;0;723.8999745845795
49;0;654.3294894099236
50;0;1815.0792077630758
51;1;1780.3275795578957
52;1;322.0485966205597
53;0;312.40841495990753
54;0;1047.6051777899265
55;0;345.3070860505104
56;0;1101.9198691248894
57;0;304.5738467052579
58;0;942.8825504183769
59;1;1060.1547397971153
60;1;703.2665047347546
61;1;484.39146572351456
62;1;510.49620066583157
63;1;920.9191738516092
64;1;877.5561050921679
65;1;929.1059804558754
66;0;695.0996879041195
67;0;1041.1204692199826
68;0;1025.2354147434235
69;1;773.6781780570745
70;0;729.1552832573652
71;0;445.4228997826576
72;0;380.37645521759987
73;1;470.4402244091034
74;1;966.3416466712952
75;1;884.2035575211048
76;1;1696.5145657509565
77;1;461.8540916442871
78;1;578.4996961653233
79;1;991.680527985096
80;1;881.8314396478236
81;1;1002.161709189415
82;0;551.5700748115778
83;0;1212.3224458098412
84;0;439.21582183241844
85;0;876.3256235718727
86;0;898.6728681176901
87;0;595.1987905502319
88;0;1034.7363851219416
89;0;744.619088858366
90;1;1011.436343729496
91;0;702.9591493457556
92;0;689.9707353562117
93;0;1046.58778629452
94;0;740.0315261483192
95;1;948.5681465566158
96;1;528.8645892292261
97;1;1559.9447706788778
98;1;1569.63558614254
99;1;1427.7077319324017
100;1;600.1675732526928
101;0;864.9817498624325
102;1;1106.8802385032177
103;0;442.93049667030573
104;1;520.3978382274508
105;1;715.7141922488809
106;1;1269.173176497221
107;0;1411.782315313816
108;0;882.7926093041897
109;0;1345.824083507061
110;0;1580.504502484575
111;0;1951.9172068238258
112;0;1280.1197135597467
113;0;1514.7140529602766
114;0;1082.891276203096
115;0;805.9655183926225
116;0;1619.9602228850126
117;0;1493.9880331605673
118;0;1544.1712821274996
119;0;891.6099613010883
120;1;655.4597616046667
121;0;921.2073970139027
122;1;310.0689549744129
123;1;541.2178252786398
124;0;1065.2658351659775
125;1;253.29130643606186
126;1;329.1397652775049
127;1;889.642828553915
128;0;1665.276835769415
129;0;259.51829259097576
130;0;274.243768543005
131;0;161.41052362322807
132;0;1620.082852423191
133;0;710.8187334835529
134;0;1531.0266539119184
135;0;835.7160706594586
136;1;1061.7374689355493
137;1;743.2275753766298
138;1;651.2785241380334
139;1;826.0267733559012
140;1;1404.3580030277371
141;1;1184.7825812995434
142;1;1336.2321760430932
143;1;1199.765584692359
144;1;788.701706558466
145;1;1221.3178137540817
146;1;706.0878079980612
147;1;721.5920048952103
148;1;634.1467255428433
149;0;316.8290039077401
150;1;1417.8343618065119
151;1;1069.8745173215866
152;0;1116.4994162023067
153;0;1073.8254025578499
154;1;822.2627651356161
155;0;614.7907012104988
156;1;1888.105674535036
157;0;2306.532396122813
158;1;689.8092920929193
159;0;811.8128116950393
160;0;1645.3466172665358
161;0;1123.7601624019444
162;1;1413.1325471699238
163;0;1564.4157950878143
164;1;885.5581043958664
165;1;603.3443688005209
166;0;713.8725308775902
167;1;1884.5611141324043
168;1;978.2206791043282
169;1;615.6086203753948
170;0;935.5404701381922
171;1;820.0649713799357
172;1;905.655010253191
173;1;1538.4911783635616
174;0;926.1935233101249
175;0;560.14658876881
176;1;711.5875526443124
177;1;609.0986958444118
178;1;867.8499233871698
179;0;765.5466902554035
180;1;914.5141187906265
181;1;1417.1772470623255
182;1;1117.1120532602072
183;1;753.5563920289278
184;1;997.6706322133541
185;1;1105.941422984004
186;1;1101.3857254385948
187;1;2846.511950775981
188;0;951.7282487154007
189;1;2112.1001212894917
190;1;808.2415499985218
191;0;259.1809944808483
192;0;564.205751940608
193;0;248.01914352178574
194;0;583.2715403139591
195;0;311.0711991786957
196;0;447.9553949534893
197;0;449.6682854294777
198;0;267.61439284682274
199;0;385.06274478137493
200;0;961.1425163894892
201;0;327.85272601246834
202;1;438.4036304652691
203;1;298.24192160367966
204;1;300.18140318989754
205;0;1116.9988052248955
206;0;415.65622133016586
207;0;839.9053297713399
208;0;667.5218003988266
209;1;700.5084984004498
210;0;304.60702934861183
211;0;697.230085670948
212;1;687.2102508842945
213;0;804.0681488215923
214;0;1408.748799994588
215;0;806.7212209999561
216;0;939.3658264577389
217;0;575.1384259834886
218;0;1203.3182356059551
219;0;666.468597099185
220;0;792.8466033637524
221;0;453.08324137330055
222;0;596.791275292635
223;0;794.4948092997074
224;0;461.95541839301586
225;0;437.0319381952286
226;0;758.4004694521427
227;0;410.6371642947197
228;0;774.4350237846375
229;0;982.955438375473
230;1;475.56103160232306
231;1;524.5865356326103
232;0;1609.7403407543898
233;1;1263.3955772966146
234;1;1540.4818156659603
235;1;907.9725928772241
236;0;624.3204926103354
237;0;898.5382072031498
238;1;852.779307410121
239;1;980.197613298893
240;1;674.7785681784153
241;0;613.2673150599003
242;1;1646.0282550752163
243;0;717.6337723433971
244;1;1003.2928475141525
245;1;1318.5930666923523
246;1;1465.5778289362788
247;1;1534.2322938218713
248;0;1127.2646313756704
249;1;788.104744784534
250;1;1173.3448500931263
251;1;1027.5052913874388
252;1;894.4900388717651
253;1;781.7636862248182
254;0;670.5137951150537
255;1;1130.481886446476
256;1;1038.5577482283115
257;1;977.521817818284
258;1;611.1585849970579
259;0;787.3343234062195
260;0;1819.1790485680103
261;1;1081.6763577237725
262;0;2542.738442018628
263;1;777.4647824838758
264;1;1847.6599970012903
265;1;1927.4361438453197
266;1;2791.2108382731676
267;1;1667.3684938438237
268;1;769.9818344563246
269;1;1011.3691775463521
270;0;1124.6528061926365
271;1;1527.4927730560303
272;1;940.7973520755768
273;1;672.892944470048
274;1;816.5033391863108
275;1;759.719997137785
276;0;558.1252964735031
277;1;1419.3525294661522
278;1;1087.4659345000982
279;1;1187.3626133054495
280;0;748.0459938943386
281;0;829.8697903603315
