ID;value;MSE
117;0;5063.383058152461
118;0;5222.2898852805565
119;0;7007.467365553186
120;1;6548.847769394784
121;0;9569.027007818053
122;1;1152.2877544511873
123;1;665.0762957192062
124;0;7110.0668429828875
125;1;2437.9932835820896
126;1;912.0134332914183
127;1;555.9999271044047
128;0;1991.9895121462287
129;0;825.721970276821
130;0;852.4160835019044
131;0;199.16903349552604
132;0;5259.563969529641
133;0;4190.464756346472
134;0;1638.945132396625
135;0;3230.329748236838
136;1;2698.7426512128004
137;1;2332.392085360742
138;1;3317.5605120004375
139;1;7205.791093069452
140;1;5998.016499006798
141;1;3261.582925573597
142;1;5894.703725420516
143;1;788.8075501612815
144;1;797.1834294643996
145;1;3051.66240455233
146;1;905.2074986787674
147;1;1354.93632023035
148;1;1063.6539924006343
149;0;2585.0649613653345
150;1;1496.472170739708
151;1;2315.0761663295243
152;0;3867.0358673664646
153;0;5627.062906620742
154;1;4134.869614382301
155;0;7526.736337998652
156;1;3224.11236127057
157;0;5323.400669272684
158;1;3181.6608623548923
159;0;4621.540736792229
160;0;15092.19468135513
161;0;9222.010978532247
162;1;1861.3551227379585
163;0;998.7582709164799
164;1;4924.989066116305
165;1;934.5525686585388
166;0;3668.625478377344
167;1;2258.7657632168825
168;1;3191.006604340933
169;1;1353.5275217319993
170;0;2075.961879704044
171;1;5008.511138446959
172;1;2762.035994022561
173;1;3735.07117434804
174;0;4910.722709711516
175;0;2408.5431519144204
176;1;1260.4157787071965
177;1;3978.8617257120986
178;1;2977.7291236127057
179;0;19098.574914803274
180;1;3342.777491206969
181;1;18383.0735589452
182;1;2904.3344468135515
183;1;946.7706226195032
184;1;1189.2729835255955
185;1;936.5891595137864
186;1;5313.148612250105
187;1;4947.5116787855595
188;0;8621.44652561369
189;1;5062.609280520474
190;1;2607.7899440526307
191;0;1639.7354122245913
192;0;2678.0590335866455
193;0;1562.8385430904088
194;0;1910.4837925755837
195;0;1658.0522953000566
196;0;2996.722381681337
197;0;2745.3218572886485
198;0;1464.6761558507826
199;0;2342.7178525868826
200;0;869.0842322271427
201;0;805.2782406648079
202;1;1929.9530165108524
203;1;2819.048982195251
204;1;2678.358186630948
205;0;6260.65007745157
206;0;4765.571544748784
207;0;6188.702814225576
208;0;1799.919944690467
209;1;2412.8282470431723
210;0;639.8558844969293
211;0;2288.9230154174184
212;1;3680.3023622728847
213;0;5249.254520438102
214;0;2840.313104805642
215;0;4463.646461830044
216;0;3699.4962659231314
217;0;2565.270184790334
218;0;1457.4104965101233
219;0;3358.887576312576
220;0;5035.553804238879
221;0;992.5848340714012
222;0;3226.2979593789296
223;0;2062.019961091976
224;0;848.9631435314271
225;0;540.5372491935925
226;0;692.8381089060193
227;0;537.742511344377
228;0;1038.5465092121808
229;0;385.49465037450113
230;1;484.9876487525741
231;1;1695.4893230732782
232;0;6847.602360906092
233;1;6449.104078508556
234;1;7232.29535472819
235;1;1475.1595374774479
236;0;2102.0966941847537
237;0;2129.8962563555847
238;1;5831.416932279992
239;1;10260.327265230624
240;1;2761.796595320103
241;0;3100.9426339000966
242;1;3555.615930421154
243;0;2605.440317186959
244;1;7927.24639394602
245;1;1221.3317396533814
246;1;4659.797927487107
247;1;3384.7670962950815
248;0;2237.303403313105
249;1;3644.9186671951597
250;1;1307.3454904962368
251;1;1490.3352801013248
252;1;3434.686104277149
253;1;2119.3173678311737
254;0;4637.229930931423
255;1;5828.971552949538
256;1;5286.255416598327
257;1;7530.517677637454
258;1;3876.0356737375396
259;0;1183.7625626446522
260;0;1427.9727557268602
261;1;2446.7578504000144
262;0;5411.324632332841
263;1;1678.3966932735589
264;1;4432.655078089407
265;1;8220.088233739727
266;1;7934.147013102984
267;1;3314.172635449128
268;1;2120.633974814572
269;1;3803.9026142182856
270;0;9218.780266251162
271;1;6616.965031527345
272;1;2277.6843242578316
273;1;10182.150481110928
274;1;12037.32692535491
275;1;308.33044165618793
276;0;1594.4999075137134
277;1;7648.713419623495
278;1;2808.570036721156
279;1;2349.7642109963003
280;0;2604.0697592622964
281;0;2367.7223397663697
282;0;8086.916078490332
283;0;5680.6822326098445
284;1;975.7589538570882
285;0;1135.3861001767718
286;0;2109.7429418839865
287;1;1727.0632770214859
288;1;2770.1026811911142
289;0;1424.9995015763673
290;0;875.5753658447688
291;0;164.43611338909847
292;0;1212.2134916078946
293;0;2575.85250715288
294;0;242.81442877189147
295;0;3938.010014032402
296;0;2701.298759408088
297;1;3381.110799482441
298;1;5700.24288721229
299;1;422.0776825579064
300;0;1797.8101343101343
301;0;1658.4212964481621
302;0;2275.8615831100906
303;0;542.5658415796476
304;0;491.25040730413866
305;0;3048.164948153008
306;0;1306.7474832795729
307;1;654.3393494979316
308;1;112.14666593771071
309;0;841.3747207187506
310;1;5638.929242068048
311;1;12122.9347443187
312;1;7178.120124195871
313;1;5977.873821369344
314;1;4414.151730359193
315;0;3087.1581939205075
316;1;2481.47619776575
317;1;1663.0506765622438
318;1;5635.382821697374
319;0;7740.324905691324
320;0;823.9482710075994
321;0;4543.394944690467
322;0;2091.6807942886303
323;0;4215.556729630237
324;0;6750.412912087912
325;0;7961.842067136843
326;0;2040.5152237894774
327;0;1307.416089880269
328;0;2770.807918284038
329;0;4126.40920215771
330;1;1617.9228258888706
331;0;4778.874972664152
332;1;2575.044300931241
333;0;4902.358525139868
334;0;1290.5881945583437
335;0;3237.8690699433237
336;0;3791.5398802689847
337;0;4890.162833725147
338;0;1406.1978427459771
339;0;9049.361074663313
340;0;2316.3675523481493
341;1;3731.747410839575
342;1;7226.519115503071
343;1;6079.5616049787695
344;0;6023.728018333242
345;0;47.981751043318205
346;0;8370.7663003663
347;0;2902.6776625116177
348;0;3274.0560612687477
349;0;6465.5262305687675
350;0;2390.3758720135584
351;0;6308.295585716108
352;0;5835.208386638237
353;1;4716.856885444572
354;0;5940.829562353069
355;0;3916.929280793833
356;0;3110.7743380168754
357;0;4257.319290908097
358;0;3835.743169682722
359;0;1700.7203925427807
360;0;6925.795249485175
361;0;5214.863974541214
362;1;7426.460456873144
363;1;2268.3364282069506
364;1;4632.339985512001
365;1;4464.584845461338
366;1;6844.551801432399
367;1;3185.960603575529
368;0;1764.8332987079257
369;1;3315.1466135440014
370;1;14926.310259599439
371;1;8484.433122847302
372;1;3371.2057546516503
373;1;2932.844891385563
374;1;2167.5830458513296
375;1;8431.984824959452
376;1;4051.205309077324
377;1;7376.643451241959
378;1;3000.7329150948553
379;1;3536.1148096513766
380;1;1270.284986696554
381;1;1274.047915185975
382;1;11221.350745813059
383;1;5813.423656443059
384;1;3895.822879649372
385;1;1764.9914789605089
386;1;3491.5385389900316
387;1;4424.50750369034
388;1;7378.821398957593
389;1;7062.424384943415
390;1;4499.4573004938675
391;1;913.7368901827857
392;0;5208.119652652488
393;0;1711.1953210139777
394;0;8598.147300584988
395;1;6039.448984473238
396;1;7062.421602609662
397;1;6837.3637749895215
398;1;6577.122080075811
399;1;4605.191173710204
400;1;3409.110413591384
401;1;3639.6945847684656
402;0;1183.1458262715726
403;0;2203.1500159459115
404;0;466.4263431013431
405;0;2796.1914457018934
406;0;2308.696704663496
407;1;2911.75405071711
408;1;2774.2323943469464
409;0;2150.670834472327
410;1;3353.177631986587
411;1;1885.9200731689539
412;1;2731.657169737394
413;1;4812.896347930677
414;1;2862.2781067191513
415;1;3665.933777540867
416;1;2316.0162520729687
417;1;2681.433330144151
418;1;1314.4736391303557
419;1;3752.350487033696
420;1;2330.845639021012
421;1;5157.101600058317
422;1;9699.863023253694
423;1;5419.543689975033
424;1;4066.981020720573
425;1;9073.414038780456
426;1;3126.4279258469555
427;1;1308.3703624733475
428;1;6589.993594299564
429;0;2043.4068986568986
430;1;3069.8866701292072
431;0;213.86234669145117
432;1;5099.3732482277255
433;0;2165.41584294644
434;1;3682.102107138301
435;1;4144.880286753048
436;1;4287.955616605616
437;1;1079.8779121790317
438;1;2155.5465042006085
439;0;3740.640178685328
440;0;1456.6187173108815
441;0;2252.199376287063
442;1;3542.6956449437794
443;1;286.19788921691907
444;1;292.259126072932
445;0;2380.743255790644
446;0;721.0233521039492
447;0;696.1148023618173
448;0;1065.096598509285
449;0;1062.306623931624
450;0;2336.0382697319264
451;1;753.951443788384
452;0;1733.4536374902048
453;1;1046.4926685255043
454;1;2877.2906411167605
455;0;2530.9603648424545
456;0;3164.1928626100266
457;1;336.48197246368886
458;1;2491.850436006779
459;1;1873.396116031564
460;0;2958.155729593789
461;0;1749.8460062325735
462;0;2932.949042334117
463;1;1545.2054134091447
464;0;2079.316876241503
465;0;2248.749587228692
466;0;8953.113784557068
467;1;2733.132896415359
468;1;434.30593871302824
469;1;5553.041869863138
470;1;6439.136802252474
471;1;3051.6073884241796
472;1;6394.43488464272
473;1;2231.724999088805
474;1;2412.2032488655623
475;0;4323.8303049769465
476;0;1516.7303601042406
477;0;3704.8481908224444
478;0;4528.597845935159
479;1;4977.861068740546
480;0;4935.896203506278
481;1;2530.804746870045
482;1;3884.3448134783957
483;1;4975.17465237913
484;1;4894.7128956864035
485;1;2517.6891586025913
486;0;4290.726611448254
487;0;2618.432953365043
488;0;1847.1678152278898
489;0;3713.5781568348734
490;0;2547.6936617279903
491;0;3836.5936088786834
492;0;5997.41975151714
493;0;2417.618904561442
494;0;5828.46035299692
495;0;3904.7532151513497
496;0;5769.681740564576
497;0;4289.146147467789
498;0;2607.8175983634937
499;0;8169.054519982505
500;0;4231.40216499918
501;0;4857.560505622073
502;0;5243.063616897199
503;0;3248.645898255973
504;0;2661.573542543692
505;0;6305.160730687223
506;0;2101.6784629963736
507;0;5124.537302954094
508;1;5266.931682703697
509;1;4104.444015271627
510;1;5792.754897217211
511;1;3574.288046944763
512;1;2993.298970805314
513;1;1743.0166024274233
514;1;2133.310399467862
515;1;3550.9466454358244
516;1;3007.005211123868
517;0;3397.2243954221567
518;0;3065.5766893554205
519;0;2614.713974996811
520;0;2048.566505385162
521;0;2627.54552238806
522;0;3718.683047218122
523;0;1826.6813965884862
524;0;535.2801878883969
525;0;2911.698842782425
526;0;4554.143104532283
527;0;3954.0778657080896
528;1;1865.7483990304886
529;1;2891.265393727334
530;1;4483.611426384561
531;1;2429.1510474185848
532;1;1743.0166024274233
533;1;2753.173118382447
534;1;4559.012864705775
535;1;4860.4521089606915
536;1;2943.1963570426256
537;1;3502.6130132305507
538;0;10093.737664242888
539;0;3207.9736906128696
540;0;3380.6115238824195
541;1;4664.505092212928
542;1;7682.382189783682
543;0;2525.7201966358684
544;0;5660.968098609516
545;0;3388.025755380606
546;0;4503.038925792284
547;0;4740.880692690394
548;1;2410.3692603830664
549;0;2574.24934804002
550;0;2695.8167108596213
551;1;8543.27842062581
552;1;9811.760725675651
553;1;5332.8915199642815
554;1;9539.875954021103
555;1;5277.092746432671
