ID;value;SSIM
0;1;0.6333919628460557
1;1;0.5197250840128592
2;0;0.4414847851611755
3;1;0.6848109329565463
4;0;0.3962252747962363
5;0;0.5495290007540462
6;1;0.6021143127047008
7;0;0.5793229899953803
8;1;0.5920359427072142
9;1;0.5582869746007267
10;1;0.42291552562830553
11;1;0.6848109329565463
12;1;0.697607713124169
13;1;0.4876877758582739
14;0;0.6521966949738851
15;0;0.6014848070092982
16;0;0.6675365571756797
17;0;0.3902093903214626
18;0;0.41523989480457113
19;0;0.3003008863530543
20;1;0.5555995701810654
21;0;0.4665251965738583
22;1;0.39048090917433814
23;0;0.5437478675170268
24;0;0.33139177097994715
25;1;0.46849823834864823
26;1;0.32669723095037306
27;0;0.3700416511419482
28;0;0.3061979276018128
29;0;0.4893264465395843
30;0;0.5618080541034596
31;0;0.5186775584777894
32;0;0.46331757827455744
33;0;0.5248222745783694
34;1;0.5219605729927282
35;1;0.5073213218713863
36;1;0.5593261695032206
37;1;0.5052657982156853
38;1;0.5244143294669115
39;1;0.487911295894188
40;1;0.5433427236594703
41;1;0.5217184485924102
42;1;0.5517420325942559
43;1;0.5126837240951548
44;1;0.3821595556109918
45;0;0.9168892925132881
46;0;0.8276105010446915
47;0;0.8231138530107002
48;0;0.8968173559432567
49;0;0.6590876114355096
50;0;0.39807312029649716
51;1;0.4776694488739438
52;1;0.6409890111487175
53;0;0.8150936080796255
54;0;0.8759779943296009
55;0;0.7052389330822695
56;0;0.4518441575904853
57;0;0.4304639014691987
58;0;0.5359678934058468
59;1;0.5863637925471461
60;1;0.4595164011902107
61;1;0.5531666800530545
62;1;0.46849823834864823
63;1;0.3638098169304569
64;1;0.3332822329237828
65;1;0.4253908964020713
66;0;0.4074352849373356
67;0;0.4143217353813796
68;0;0.38970104563098373
69;1;0.6739048330974051
70;0;0.5671797938242465
71;0;0.4714988457696212
72;0;0.538322571310805
73;1;0.583370644297324
74;1;0.5367853974744673
75;1;0.48175609482521337
76;1;0.5380816834093731
77;1;0.47552261639920057
78;1;0.4968072275846382
79;1;0.5655273585024061
80;1;0.42415320449779154
81;1;0.4199787807099548
82;0;0.4485131864114308
83;0;0.47671251412138926
84;0;0.515581956531251
85;0;0.44964038298364223
86;0;0.48726986261743843
87;0;0.4071298659620372
88;0;0.5568433563942573
89;0;0.3815679484319727
90;1;0.46019711061822743
91;0;0.4895055308599482
92;0;0.5311934480873561
93;0;0.5504568015289252
94;0;0.4240741711306505
95;1;0.5611064992662532
96;1;0.7596563423878284
97;1;0.5329825280362005
98;1;0.5058987873582381
99;1;0.4877961155915272
100;1;0.4397844893593324
101;0;0.36804906023994544
102;1;0.5065205590393148
103;0;0.5823006656898775
104;1;0.640686370933243
105;1;0.5843970088465554
106;1;0.5941582069718307
107;0;0.5278746552799827
108;0;0.5477799951872518
109;0;0.39521259434385075
110;0;0.4619027637175319
111;0;0.3972289086940611
112;0;0.4486676800608945
113;0;0.40141758299613245
114;0;0.4349274008668651
115;0;0.4400037046569534
116;0;0.45817908337479374
117;0;0.4834087903126981
118;0;0.46755954172436787
119;0;0.4486368189453365
120;1;0.47319918170660297
121;0;0.510853725167142
122;1;0.6361327644992485
123;1;0.6097830389671134
124;0;0.41133424806467866
125;1;0.6199460927253277
126;1;0.695563565763329
127;1;0.6398195665332814
128;0;0.5590220821241194
129;0;0.915580883283931
130;0;0.8992789746208798
131;0;0.9132011729654304
132;0;0.48883329677188797
133;0;0.5579219947364856
134;0;0.577381900109745
135;0;0.5442117027945601
136;1;0.5522955865349368
137;1;0.5684392584459148
138;1;0.5912692036467896
139;1;0.5018625962979262
140;1;0.5421960832740484
141;1;0.47605022059660757
142;1;0.4847500858585452
143;1;0.8146868939800892
144;1;0.7365569029108847
145;1;0.6886961318195515
146;1;0.7654132550324231
147;1;0.7414769088874142
148;1;0.759803542804826
149;0;0.7317606502030244
150;1;0.7766011292833364
151;1;0.7373822343824558
152;0;0.6710553111790724
153;0;0.48020347484119025
154;1;0.535130772804673
155;0;0.4603621980892108
156;1;0.5973242623657301
157;0;0.48755189493589585
158;1;0.45659112667271373
159;0;0.46207401239207435
160;0;0.38318714500707346
161;0;0.35641468221135253
162;1;0.6458566599510532
163;0;0.6953989275351624
164;1;0.5710862504965966
165;1;0.6844381748588062
166;0;0.5172263968181674
167;1;0.6333280557858696
168;1;0.49220785433827247
169;1;0.6577210234581993
170;0;0.6508341134483242
171;1;0.5464868831290153
172;1;0.5755851394055788
173;1;0.6075961095436117
174;0;0.5693162369610366
175;0;0.6138048879138694
176;1;0.6755159772646799
177;1;0.5355166518941845
178;1;0.6038535415565749
179;0;0.33385126175132157
180;1;0.6076180063730535
181;1;0.35656500602022473
182;1;0.6411977959917041
183;1;0.7529705867971815
184;1;0.6816933825779484
185;1;0.6655823245034099
186;1;0.3601899693341332
187;1;0.38557917992708646
188;0;0.2788413652615709
189;1;0.35308160005864797
190;1;0.4544730316467451
191;0;0.5750474411449908
192;0;0.5794769641767448
193;0;0.5888501055094909
194;0;0.5694610871451251
195;0;0.5866491108202445
196;0;0.6221719456082636
197;0;0.5973694494067464
198;0;0.5923690730537704
199;0;0.6462169413924237
200;0;0.6905641251361105
201;0;0.6119228158953002
202;1;0.6359116369470565
203;1;0.522403956042323
204;1;0.5597308571823624
205;0;0.40824414415453514
206;0;0.4566534656938199
207;0;0.4884863431623258
208;0;0.6610173461072285
209;1;0.6408744916576606
210;0;0.6740161789826077
211;0;0.5981356076132401
212;1;0.5817670401490905
213;0;0.5628483745623158
214;0;0.572826232042766
215;0;0.6033535812129154
216;0;0.5786359992430661
217;0;0.6362147506966863
218;0;0.6702970856709914
219;0;0.5147824196710334
220;0;0.5205328964753685
221;0;0.6983858402628057
222;0;0.5897106812370067
223;0;0.6106638808547507
224;0;0.734655928399494
225;0;0.6348386980864291
226;0;0.7015835048657432
227;0;0.6436139002265896
228;0;0.7009098292711258
229;0;0.6450605087719201
230;1;0.7237063483221429
231;1;0.6343081449932229
232;0;0.4674162704422326
233;1;0.5872090200887873
234;1;0.5687500387464838
235;1;0.6454132768176856
236;0;0.6857335971566698
237;0;0.5805981197572503
238;1;0.5658896759181561
239;1;0.37227955098848525
240;1;0.6428857334787338
241;0;0.5926982857033726
242;1;0.5046078652997142
243;0;0.5000371614516705
244;1;0.4282599534960357
245;1;0.6000530360269289
246;1;0.5623124969888819
247;1;0.5081381365906903
248;0;0.580954065055196
249;1;0.5011910425072166
250;1;0.620339316715661
251;1;0.7180417599811526
252;1;0.6545307950305581
253;1;0.6427551443604385
254;0;0.5394778001146089
255;1;0.4722132225847246
256;1;0.5286180679257277
257;1;0.43794884153381797
258;1;0.5008689534962323
259;0;0.7100521397106959
260;0;0.5794658488833828
261;1;0.582343152888027
262;0;0.45859112127023255
263;1;0.6017612521902763
264;1;0.4665874539338162
265;1;0.4261677451452157
266;1;0.40505359325470863
267;1;0.5577036281305732
268;1;0.602225113936017
269;1;0.5057915386361973
270;0;0.45691953118698175
271;1;0.5483610087479064
272;1;0.5519311297139081
273;1;0.4647591533600671
274;1;0.4630506945884472
275;1;0.6601948286128105
276;0;0.6576893699926154
277;1;0.42016320515359934
278;1;0.5362737772325531
279;1;0.5982476253920486
280;0;0.6616754735958436
281;0;0.6378480970579454
282;0;0.6156518850609206
283;0;0.7005640341597604
284;1;0.7821266339117852
285;0;0.7219032111266195
286;0;0.6338301937966412
287;1;0.6695948602002613
288;1;0.616758417464871
289;0;0.5479753680142221
290;0;0.6579866060132773
291;0;0.9151257294282059
292;0;0.7085620977517222
293;0;0.5969930887833592
294;0;0.892736587664883
295;0;0.6418758298172158
296;0;0.6984642512670393
297;1;0.6926725281113644
298;1;0.6714507115606435
299;1;0.8959568137496827
300;0;0.6504653781411821
